company_name,area,profit,rent,total_price,size,Latlng,parking_count,subway_station_count,bus_station_count,school_count,restaurant_count,bakery_count,movie_theater_count,park_count,convenience_store_count,department_store_count,supermarket_count,parking,subway_station,bus_station,school,restaurant,bakery,movie_theater,park,convenience_store,department_store,supermarket
尚香,旺角,21800,40000,200000,100,"22.3159748,114.1726949",11,0,5,16,20,8,1,3,4,1,3,24,,73,119,122,5,243,214,129,35,5
新記小食,太子,10900,25000,150000,80,"22.3266826,114.1673573",2,0,12,20,20,10,1,4,6,1,6,210,,79,9,60,99,144,44,82,103,59
卡洛芝士吐司專門店,荃灣,62000,45000,258000,200,"22.37214,114.115455",2,0,20,11,20,8,0,2,5,3,10,171,,59,98,5,5,,208,188,238,12
熊貓甜品屋,佐敦,31550,25000,300000,500,"22.3075967,114.1679836",2,0,13,10,20,9,1,4,6,1,9,261,,28,5,8,46,159,33,90,264,10
潮食,上水,-22800,8800,90000,100,"22.501228,114.1322553",4,0,5,7,20,0,0,2,0,0,3,22,,89,43,12,,,116,,,38
德和里,旺角,52500,28500,200000,100,"22.3210545,114.1692254",3,0,20,20,20,6,10,1,7,0,12,167,,25,13,78,168,83,219,118,,65
新記魚蛋,油麻地,-25000,25000,120000,200,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
和味,紅磡,23350,28500,240000,100,"22.3133356,114.1880111",4,0,20,7,20,2,0,0,2,0,4,249,,80,92,0,208,,,42,,128
Aboong Soft Ice Cream Fish Bun,尖沙咀,-91000,78000,160000,230,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
三寶小食,佐敦,32200,27500,148000,500,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
媽咪雞蛋仔,沙田,23750,37000,380000,300,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Happy Toast,葵芳,-34000,28000,170000,70,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
辣妹來了,葵涌,27000,56000,300000,200,"22.358335,114.1272203",7,1,18,4,20,16,1,0,5,2,5,47,253,117,132,47,73,190,,118,59,108
米米食堂,佐敦,50300,160000,300000,800,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1830's,葵芳,65150,27500,80000,100,"22.3584291,114.1274742",9,1,18,6,20,16,1,0,5,2,5,149,589,157,263,275,125,538,,128,407,456
餓底王國,荔枝角,-32000,32000,250000,200,"22.336799,114.1472901",16,1,16,13,20,11,0,0,8,2,0,24,95,17,4,17,24,,,93,378,
Big Mug,荔枝角,25750,24000,250000,600,"22.339206,114.1498",16,0,14,7,20,5,0,1,2,0,0,8,,23,64,36,37,,181,182,,
串得喜,旺角,-35000,35000,250000,250,"22.319655,114.172433",8,0,20,10,20,7,0,2,5,0,5,28,,39,19,34,5,,234,68,,129
Monster Union,尖沙咀,29000,95000,330000,200,"22.3006766,114.1789969",10,0,2,7,20,4,0,1,5,6,3,47,,190,34,21,50,,130,13,86,22
巷仔小食,尖沙咀,-42000,13500,180000,100,"22.2994526,114.1739683",14,0,9,14,20,20,1,1,5,4,8,8,,46,111,53,105,264,169,172,142,122
Just Snacks,元朗,30700,35000,280000,350,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
家禾快餐,沙田,36200,22000,120000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
泰色食,柴灣,44800,21000,280000,200,"22.2648662,114.2393383",5,0,9,3,20,4,1,2,3,1,6,58,,182,56,41,39,287,196,78,170,5
師傅仔小食,屯門,42900,20000,260000,200,"22.3848465,113.9661147",2,0,5,2,20,1,0,2,3,0,5,32,,7,398,7,203,,209,248,,369
味味居,屯門,-15330,10000,180000,200,"22.3857562,113.9666106",2,0,4,5,20,1,0,3,2,0,1,99,,123,263,35,68,,74,113,,941
龍卷風,葵芳,57650,29000,260000,200,"22.35806,114.127873",6,1,20,4,20,16,1,0,5,2,8,228,206,26,102,18,25,340,,114,209,135
1987 Hot Dog,紅磡,24820,18000,250000,68,"22.3076326,114.1859734",4,0,19,14,20,10,1,3,6,0,5,58,,74,68,53,129,174,268,54,,231
Waffle Corner,葵芳,22000,39800,250000,160,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Big Bite,葵涌,-68500,34000,220000,160,"22.3581675,114.127899",6,1,20,4,20,17,1,0,5,2,8,221,213,19,109,25,18,333,,121,202,142
"BIG BITES PIZZA (seller 已病好,暫停放售)",元朗,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
長發糖水,青衣,-78883,39800,150000,110,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
滋味棧,荃灣,23500,9600,167000,90,"22.3769814,114.1040456",2,0,7,3,5,0,0,0,0,0,0,178,,57,169,13,,,,,,
蠔得喜 ,荃灣,38700,29500,220000,200,"22.3733947,114.115475",4,0,20,19,20,10,0,1,1,0,4,167,,41,167,87,8,,274,243,,38
串燒工房,元朗,29350,55000,450000,300,"22.4439678,114.0309943",6,0,19,18,20,11,0,4,10,1,9,156,,38,101,0,68,,63,21,340,91
